symbol,entry_date,exit_date,exit_reason,entry,exit,qty,pnl
PETRONET.NS,2017-09-26,2017-10-17,target,229.8297,261.6969,1,31.62
AMBUJACEM.NS,2017-10-16,2017-10-19,stop,279.8797,275.3744,1,-4.78
INDUSINDBK.NS,2017-10-10,2017-10-19,stop,1715.3641,1681.0177,14,-504.62
M&MFIN.NS,2017-10-17,2017-10-19,stop,267.7910,255.8473,1,-12.21
HDFCBANK.NS,2017-10-12,2017-10-25,stop,454.1913,447.7145,1,-6.93
NTPC.NS,2017-10-06,2017-10-27,target,143.1430,154.5725,1,11.28
BEL.NS,2017-08-16,2017-10-31,target,53.9782,61.9690,4,31.73
ASIANPAINT.NS,2017-10-24,2017-11-02,stop,1201.2003,1168.8303,20,-671.10
NESTLEIND.NS,2017-10-31,2017-11-03,stop,362.3095,358.6411,1,-4.03
HDFCBANK.NS,2017-11-02,2017-11-13,stop,456.7064,452.5471,9,-41.52
GODREJCP.NS,2017-11-02,2017-11-13,stop,660.6602,626.0402,29,-1022.64
MOTHERSON.NS,2017-11-16,2017-11-22,stop,65.6194,63.5231,3,-6.48
WIPRO.NS,2017-10-25,2017-11-30,stop,112.2747,108.4915,4,-15.57
KOTAKBANK.NS,2017-11-27,2017-11-30,stop,207.5074,203.7181,1,-3.99
WIPRO.NS,2017-11-30,2017-12-01,stop,112.3124,109.4453,4,-11.91
HINDUNILVR.NS,2017-11-13,2017-12-04,stop,1300.5496,1243.0561,17,-999.01
CANBK.NS,2017-12-05,2017-12-13,stop,73.9839,72.0579,1,-2.00
PNB.NS,2017-12-05,2017-12-13,stop,174.5244,169.3305,124,-665.36
IDEA.NS,2017-12-06,2017-12-14,stop,56.7056,55.4177,1,-1.34
NMDC.NS,2017-12-15,2017-12-18,stop,33.2257,32.2507,5,-5.04
ONGC.NS,2017-12-13,2017-12-18,stop,184.3842,180.0198,21,-95.48
BHARATFORG.NS,2017-12-18,2017-12-20,target,701.9014,738.2683,5,178.23
ONGC.NS,2017-12-20,2018-01-02,target,190.7953,197.1401,21,129.17
WIPRO.NS,2017-12-21,2018-01-02,target,112.0495,120.3274,1,8.16
CIPLA.NS,2018-01-02,2018-01-03,stop,618.4680,606.3932,6,-76.12
ULTRACEMCO.NS,2017-12-13,2018-01-15,target,4262.2092,4513.9289,4,989.33
INDIGO.NS,2018-01-03,2018-01-16,stop,1210.7098,1176.8223,3,-105.24
HDFCBANK.NS,2018-01-05,2018-01-18,target,466.8415,480.7595,1,13.44
AMBUJACEM.NS,2018-01-16,2018-01-19,stop,278.4783,269.1307,12,-115.46
GODREJCP.NS,2018-01-15,2018-01-19,target,663.2627,701.6310,27,1017.52
MARICO.NS,2018-01-18,2018-01-19,stop,315.7578,311.1886,2,-9.77
NHPC.NS,2018-01-18,2018-01-19,stop,30.9810,29.5852,1,-1.43
KOTAKBANK.NS,2018-01-15,2018-01-22,target,205.3852,212.7508,1,7.16
RELIANCE.NS,2018-01-22,2018-01-23,target,433.6104,448.3318,1,14.28
NHPC.NS,2018-01-23,2018-01-25,stop,30.3303,29.6204,6,-4.44
BHARATFORG.NS,2018-01-22,2018-01-29,stop,738.1876,714.3851,1,-24.53
